d	COUNT(*)
NULL	1
0000-00-00	11840
2014-01-02	31128
2013-12-12	242238
2013-12-13	89484
2013-12-14	74604
2013-12-15	50708
2013-12-16	17595
2013-12-17	12760
2013-12-18	10945
2013-12-19	8896
2013-12-20	4540
2013-12-21	2654
2013-12-22	3119
2013-12-23	3961
2013-12-24	4783
2013-12-25	2886
2013-12-26	2153
2013-12-27	2752
2013-12-28	2110
2013-12-29	2370
2013-12-30	2847
2013-12-31	3273
2014-01-01	2696
