"ConversionTagID","ConversionName","AdvertiserID","Type","PageURL","CreationDate","Group1","Group2","Group3","Group4","Group5","String1","String2","String3","String4","String5","String6","String7","String8","String9","String10","String11","String12","String13","String14","String15","String16","String17","String18","String19","String20"
"385870","/category/mobile-communications","95500","Counter","/category/mobile-communications","11/8/2013 12:09:02 PM","Product","Related Page","Mobile-Communications","Single Page","Solution"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"386999","LP - Introduction","61903","Counter","http://dc.bluecoat.com/ATPResourceCenter","11/13/2013 12:18:39 PM","LP Visit","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"387000","LP - Detect and Protect","61903","Counter","http://dc.bluecoat.com/ATPResourceCenter_Detect","11/13/2013 12:18:39 PM","LP Visit","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"391370","Sophos|2013|CloudPage","93593","Counter","http://www.sophos.com/en-us/products/cloud","11/22/2013 3:48:03 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392194","Pageview - Lenovo Partner Pages","89647","Counter","","11/26/2013 2:55:58 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392197","Click - Chat button - Header","89647","Counter","all Lenovo Partner pages","11/26/2013 3:00:25 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392344","LP_Display-RPCU","61409","Counter","http://www.eset.com/us/display-rpcu/","11/27/2013 1:15:51 PM","Consumer","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392345","LP_Display-Chance","61409","Counter","http://www.eset.com/us/display-rpcu-chance/","11/27/2013 1:15:52 PM","Consumer","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392348","LP_identiy_theft","61409","Counter","http://www.eset.com/us/protection/identity-theft/","11/27/2013 1:15:55 PM","Consumer","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392349","LP_SmartSecurity_Protect","61409","Counter","http://www.eset.com/us/protection/smart-security-protection/","11/27/2013 1:15:56 PM","Consumer","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392350","LP_SmartSecurity_Savings","61409","Counter","http://www.eset.com/us/protection/smart-security-savings/","11/27/2013 1:15:56 PM","Consumer","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392352","LP_response_117","61409","Counter","http://response.esetprotects.com/LP=117","11/27/2013 1:15:57 PM","Business","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392354","LP_response_125","61409","Counter","http://response.esetprotects.com/LP=125","11/27/2013 1:15:58 PM","Business","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392357","LP_dataLeaks","61409","Counter","http://www.eset.com/us/display-b2b-data-leaks","11/27/2013 1:16:01 PM","Business","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"392358","LP_webinars","61409","Counter","http://www.eset.com/us/resource/presentations/webinars/","11/27/2013 1:16:02 PM","Business","Landing Page","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"395854","Add To Cart Click - VL page","95500","Counter","http://www.plantronics.com/us/product/voyager-legend","12/10/2013 4:17:48 PM","","","","","Channel Factory"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"395855","Where to buy click - VL page","95500","Counter","http://www.plantronics.com/us/product/voyager-legend","12/10/2013 4:17:48 PM","","","","","Channel Factory"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"395856","Visit to Where to buy","95500","Counter","http://www.plantronics.com/us/where-to-buy/dealers.jsp","12/10/2013 4:17:48 PM","","","","","Channel Factory"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"400172","Partner Homepage","89647","Counter","http://www.partnerinfo.lenovo.com/partners/us/index.shtml","12/23/2013 3:33:56 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"400173","Services page","89647","Counter","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","12/23/2013 3:33:56 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"400174","Resource pages","89647","Counter","http://www.partnerinfo.lenovo.com/partners/us/resources/*","12/23/2013 3:33:57 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"400175","Programs pages","89647","Counter","http://www.partnerinfo.lenovo.com/partners/us/programs/*","12/23/2013 3:33:57 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"400176","Products pages","89647","Counter","http://www.partnerinfo.lenovo.com/partners/us/products/*","12/23/2013 3:33:57 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"400177","Become a partner","89647","Counter","http://www.partnerinfo.lenovo.com/partners/us/becomeapartner.shtml","12/23/2013 3:48:14 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
