"StateID","StateName"
"24921","Apurimac"
"25651","Aqmola Oblysy"
"25652","Aqtobe Oblysy"
"9848","Aquitaine"
"26046","Ar Raqqah"
"30062","Ar Rayyan"
"12208","Ar Riyad"
"29110","Aracinovo"
"12066","Arad"
"28615","Aragacotn"
"11472","Aragua"
"28616","Ararat"
"24917","Arauca"
"11632","Araucania"
"25617","Arbil"
"24908","Ardabll"
"24182","Ardahan"
"25341","Ards"
"11988","Arequipa"
"10815","Arezzo"
"179","Argentina"
"12083","Arges"
"19894","Argolis"
"25337","Argyll And Bute"
"29644","Arhangay"
"29645","Arhangay"
"11705","Arhus"
"29767","Ariana"
"28127","Arica Y Parinacota"
"29786","Arima"
"3","Arizona"
"14846","Arkadia"
"4","Arkansas"
"12091","Arkhangelskaya Oblast"
"25342","Armagh"
"28617","Armavir"
"237","Armenia"
"11570","Armenia"
"30017","Arno"
"28955","Arta"
"19901","Arta"
"29076","Artibonite"
"29914","Artigas"
"24183","Artvin"
"5385","Aruba"
"572","Aruba"
"23842","Arunachal Pradesh"
"26067","Arusha"
"28986","As Sadis Min Uktubar"
"29772","As Suwayda"
"25309","As Suways"
"30094","Ascension"
"10816","Ascoli Piceno"
"26057","Asgabat"
"30061","Ash Shamal"
"28676","Ash Shamaliyah"
"30080","Ash Shamaliyah"
"25156","Ash Shariqah"
"25307","Ash Sharqiyah"
"29718","Ash Sharqiyah"
"12205","Ash Sharqlyah"
"25574","Ashanti"
"4242","Asia (Unknown Country)"
"24971","Asir"
"23816","Asmara"
"29649","Assaba"
"9997","Assam"
"28141","Astana"
"30324","Astara"
"10817","Asti"
"12092","Astrakhanskaya Oblast'"
"11432","Asturias"
"29188","Asuncion"
"25301","Aswan"
"25302","Asyut"
"29099","At Tafilah"
"24816","Atacama"
"28653","Atakora"
"11637","Atlantico"
"29687","Atlantico Norte"
"29688","Atlantico Sur"
"25606","Atlantida"
"28654","Atlantique"
"29201","Attapu"
"29395","Attard"
"12522","Attiki"
"30230","Atua"
"25654","Atyrau Oblysy"
"30137","Au Cap"
"29167","Auces Novads"
"25041","Auckland"
"30018","Aur"
"24855","Aurora"
"11328","Aust-Agder"
"203","Australia"
"809","Australian Capital Territory"
"28385","Australian Capital Territory"
"73","Austria"
"25640","Austurland"
"9855","Auvergne"
"12054","Aveiro"
"10818","Avellino"
"24002","Avila"
"29722","Awdal"
"11989","Ayacucho"
"11030","Aydin"
"25796","Ayeyarwady"
"30065","Az Zaayin"
"29720","Az Zahirah"
"29100","Az Zarqa"
"29307","Az Zawiyah"
"29746","Azad Kashmir"
"11857","Azarbaijan-E Sharqi"
"23787","Azarbayjan-E-Gharbi"
"215","Azerbaijan"
"5549","Azerbaijan"
"11725","Azuay"
"26120","Ba Ria-Vung Tau"
"29237","Baalbek-Hermel"
"28145","Baat Dambang"
"30325","Babek"
"25619","Babil"
"29169","Babites Novads"
"26128","Bac Giang"
"30228","Bac Kan"
"26129","Bac Lieu"
"26130","Bac Ninh"
"12067","Bacau"
"11771","Bacs-Kiskun"
"24016","Badajoz"
"25137","Badakhshan"
"719","Baden-Wurttemberg"
"28559","Badghis"
"29029","Bafata"
"28931","Bafing"
"25620","Baghdad"
"28560","Baghlan"
"25870","Bagmati"
"25792","Bago"
"14319","Bahamas"
"10120","Bahia"
"30272","Bahoruco"
"30161","Bahr El Gazel"
"504","Bahrain"
"11605","Bahrain"
"30139","Baie Lazare"
"30140","Baie Sainte Anne"
"29705","Baiti"
"9703","Baja California"
"12681","Baja California Sur"
"29043","Baja Verapaz"
"30292","Baker Island"
"25163","Baki"
"29723","Bakool"
"30326","Balaken"
"29172","Baldones Novads"
"11798","Bali"
"11031","Balikesir"
"26054","Balkan"
"25136","Balkh"
"25354","Ballymena"
"28406","Ballymoney"
"25875","Balochisan"
"25757","Balti"
"29175","Baltinavas Novads"
"25724","Balvu Novads"
"29398","Balzan"
"25693","Balzers"
"25787","Bamako"
"28901","Bamingui-Bangoran"
"28561","Bamyan"
"25935","Banaadir"
"25356","Banbridge"
"28933","Bandundu"
"25688","Banghazi"
"28133","Bangka Belitung"
"11593","Bangladesh"
"2704","Bangladesh"
"25201","Bangui"
"28980","Bani Suwayf"
"25586","Banjul"
"25968","Banskobystricky Kraj"
"28144","Banteay Mean Chey"
"28134","Banten"
"25800","Bar"
"30281","Barahona"
"11784","Baranya"
"6146","Barbados"
"567","Barbados"
"28627","Barbuda"
"11419","Barcelona"
"10820","Bari"
"25936","Bari"
"29056","Barima-Waini"
"11470","Barinas"
"28672","Barisal"
"25346","Barking And Dagenham"
"25115","Barletta-Andria-Trani"
"28402","Barnet"
"25358","Barnsley"
"24177","Bartin"
"25215","Bas-Congo"
"28923","Bas-Sassandra"
"29223","Basarabeasca"
"10162","Basel-Landschaft"
