"SEKeywordID","KeywordName","AdGroupID","KeywordID","Position","MatchType","DestinationURL"
"12397657577","eset endpoint security","3352195","130829587","1.35294117506813","Phrase","http://www.eset.com/us/business/products/security/?CMP=KNC-g-ag&mkwid={ifsearch:s}{ifcontent:c}ShX10CU9&pcrid={creative}&pmt={matchtype}&pkw={keyword}"
"28697677769","+eset +business","3352196","130829604","1.13417722303656","Broad","http://www.eset.com/us/business/eset-for-business/?CMP=KNC-g-ag&mkwid={ifsearch:s}{ifcontent:c}oJjIIp7K&pcrid={creative}&pmt={matchtype}&pkw={keyword}"
"3000000","Total Content Network","3352214","130829952","-1","Content",""
"396604695","small business antivirus","3352218","130830129","4.14285711560931","Phrase","http://www.eset.com/us/business/smb/?mkwid={ifsearch:s}{ifcontent:c}gugxM388&pcrid={creative}&pmt={matchtype}&pkw={keyword}"
"817006388","small business antivirus software","3352218","130830161","7.24000002145767","Phrase","http://www.eset.com/us/business/smb/?mkwid={ifsearch:s}{ifcontent:c}WooVWB4B&pcrid={creative}&pmt={matchtype}&pkw={keyword}"
"3000000","Total Content Network","3352224","130830470","-1","Content",""
"21176373429","+endpoint +protection","3352224","130830541","2.61829269804606","Broad","http://www.eset.com/us/business/eset-for-business/?mkwid={ifsearch:s}{ifcontent:c}dFsw64Gr&pcrid={creative}&pmt={matchtype}&pkw={keyword}"
"6284415192","endpoint antivirus","3352230","130830914","1.27882352857029","Phrase","http://www.eset.com/us/business/eset-for-business/?mkwid={ifsearch:s}{ifcontent:c}sRmjnjdA&pcrid={creative}&pmt={matchtype}&pkw={keyword}"
"109340852","gateway security","3352231","130831114","3.7770115123398","Phrase","http://www.eset.com/us/business/products/?mkwid={ifsearch:s}{ifcontent:c}gAE6BQbm&pcrid={creative}&pmt={matchtype}&pkw={keyword}%23%23tab=baptab-312"
"41000446","file security software","3352234","130831197","2.24805194526524","Phrase","http://www.eset.com/us/business/products/?mkwid={ifsearch:s}{ifcontent:c}9sS2xduh&pcrid={creative}&pmt={matchtype}&pkw={keyword}%23%23tab=baptab-312"
"3000000","Total Content Network","3352235","130831272","-1","Content",""
"33434939731","windows 8 antivirus","3352316","130834296","1.06571429456983","Exact",""
"67600210067","windows 8 antivirus review 2013","3352316","130834306","1.8360000038147","Exact",""
"36368026","anti virus for linux","3352319","130834314","1.15185185273488","Exact",""
"37532256","anti virus linux","3352319","130834316","1.0769230723381","Exact",""
"87860657","linux anti virus","3352319","130834319","1.08518518783428","Exact",""
"14653313","windows antivirus","3352341","130834662","1.01851852293368","Exact",""
"11960792011","antivirus programs for windows 7","3352345","130834684","2","Exact",""
"12129051341","antivirus protection for windows 7","3352345","130834689","1.45","Exact",""
"13229585525","antivirus software for windows 7","3352345","130834723","1.75925924159862","Exact",""
"24278951818","download antivirus software for windows 7","3352345","130834886","1","Exact",""
"14653323","pc antivirus","3352356","130834940","1.78888888712283","Exact",""
"48326806","antivirus pc","3352356","130834941","1.47777777247959","Exact",""
"737784021","antivirus for pc","3352356","130834946","2.94444444444444","Exact",""
"71265628","mac antivirus software","3352360","130835555","3.97407407230801","Exact",""
"93088172","mac antivirus","3352360","130835567","3.38888887122825","Exact",""
"1119658600","virus protection free trial","3352476","130841130","1.97407407525145","Exact",""
"380688720","free trial anti virus","3352482","130841419","1.89113924020453","Exact",""
"261805890","trial antivirus","3352486","130841603","1.66046510879384","Exact",""
"583046469","antivirus free trial","3352486","130841607","1.52812501601875","Exact",""
"895633042","antivirus free trials","3352486","130841616","1.73809523525692","Exact",""
"895635952","free antivirus trial","3352486","130841619","1.61093750409782","Exact",""
"895720012","free trial antivirus","3352486","130841621","1.68235294959124","Exact",""
"1119813100","free antivirus trial download","3352486","130841624","1.4678571415799","Exact",""
"2363888232","antivirus free trial download","3352486","130841651","1.54210526483101","Exact",""
"14143416978","download free antivirus trial","3352486","130841766","2.35714285714286","Exact",""
"95514552","one time password","3352491","130841811","2.09277108491185","Phrase",""
"22095997488","+vpn +security","3352493","130841912","4.20344827366971","Broad",""
"513760069","multi factor authentication","3352496","130841974","4.90574714233135","Phrase",""
"97385584","2 factor authentication","3352499","130842020","6.33103446850831","Phrase",""
"55828048433","+2 +factor +auth","3352499","130842024","4.15555555437818","Broad",""
"24261728970","+two +factor +authentication","3352503","130842257","5.75977010014413","Broad",""
"318393826","smart security","3352520","130842462","1.91379310070783","Phrase",""
"4321690012","eset smart security","3352529","130842556","1.0011494255614","Exact",""
"24488135393","+eset +smart +security","3352544","130842862","1.24687499925494","Broad",""
"318398896","smart security","3352551","130842955","1.40919540120267","Exact",""
"5935388110","download eset smart security","3352555","130842983","1.00348837153856","Exact",""
"3398433735","eset smart security","3352575","130843124","1.20344829011237","Phrase",""
"12172133219","eset smart security 4","3352575","130843125","1.11234568666529","Phrase",""
"35863153869","eset smart security 6","3352575","130843135","1.02528736235081","Phrase",""
"4376544125","download eset nod32","3352585","130843368","1.00740740917347","Phrase",""
"15626649285","download antivirus eset nod32","3352588","130843420","1","Broad",""
"24431687765","nod32 eset antivirus download","3352588","130843436","2.30000001192093","Broad",""
"608349878","nod32 antivirus","3352600","130843720","1.16984127059815","Exact",""
"608350238","nod32 anti virus","3352600","130843721","1.04347826086957","Exact",""
"608350388","nod 32 anti virus","3352600","130843723","1","Exact",""
"5778092110","www nod32 com","3352602","130843756","1.32962961844456","Exact",""
"153413512","nod32 anti virus","3352648","130844336","1.32758620278589","Phrase",""
"449771309","nod32 antivirus","3352648","130844337","1.18815790822631","Phrase",""
"13431080421","nod32 eset download","3352688","130844998","1.05555555555556","Broad",""
"135682762","nod32","3352709","130845331","1.09310347047345","Phrase",""
"357731289","nod 32","3352709","130845332","1.08095239741462","Phrase",""
"1301397467","nod32 download","3352716","130845377","1.01954023317359","Exact",""
"2115428306","download nod32","3352716","130845381","1.02771084423525","Exact",""
"37742696","nod32","3352718","130845394","1.0034482766842","Exact",""
"60753108","nod 32","3352718","130845395","1.0022988511228","Exact",""
"5914818010","eset nod32 antivirus download","3352734","130845564","1","Exact",""
"31744420653","+nod32 +download +eset","3352755","130845835","1.05999999940395","Broad",""
"608350148","eset nod32 antivirus","3352758","130845872","1.0034482766842","Exact",""
"2333561286","eset nod antivirus","3352758","130845875","1","Exact",""
"7703757100","nod eset antivirus","3352758","130845896","1.03846153846154","Exact",""
"23805756816","enod","3352766","130846017","1.57792207327756","Phrase",""
"608349938","eset nod32 antivirus","3352772","130846028","1.09342107176781","Phrase",""
"67817674547","eset review nod32","3352782","130846204","1.05000001192093","Broad",""
"409556569","node32","3352799","130846476","1.06551724740829","Exact",""
"1815079838","mod32","3352799","130846477","1.20181818008423","Exact",""
"2764709211","esetnod32","3352799","130846479","1.07209302658258","Exact",""
"4657129455","eset32","3352799","130846487","1.02647058753406","Exact",""
"5804848090","esetnod","3352799","130846489","1.44864864768209","Exact",""
"67817398427","nod 32 security eset","3352800","130846510","2.38571429252625","Broad",""
"31222207649","renew nod32","3352802","130846606","-1","Phrase",""
"3609391132","eset nod32 download","3352815","130847077","1.00804597755958","Exact",""
"4307641710","download eset nod32","3352815","130847078","1","Exact",""
"5914817050","download eset nod 32","3352815","130847080","1","Exact",""
"437380536","eset nod32","3352816","130847096","1.11558444159372","Phrase",""
"520095279","eset nod","3352818","130847105","1.0011494255614","Exact",""
"608350538","eset nod 32","3352818","130847107","1.00470588207245","Exact",""
"5771067010","nod eset","3352818","130847110","1.01999999915852","Exact",""
"2764700871","nod32 renewal","3352821","130847193","1.30540540411666","Exact",""
"3188220489","nod32 eset antivirus","3352822","130847212","1.07500001043081","Broad",""
"2743312180","esset","3352825","130847356","1.25402299152024","Phrase",""
"715917486","eset","3352828","130847380","1.14137933994162","Phrase",""
"5764474210","eset virus","3352829","130847385","1","Exact",""
"2764708371","eset renewal","3352831","130847392","1.00243902497175","Exact",""
"703974276","eset","3352832","130847401","1","Exact",""
"2394911636","e-set","3352832","130847402","1.2160919534749","Exact",""
"24739302916","download antivirus eset","3352837","130847426","1","Phrase",""
"2394928196","eset.com","3352839","130847439","1","Exact",""
"2394930896","www eset com","3352839","130847440","1","Exact",""
"5399798312","eset security","3352840","130847445","1.0011494255614","Exact",""
"2764709391","eset download","3352841","130847454","1","Exact",""
"5889790270","eset online scan","3352842","130847464","1.07468354852894","Exact",""
"5889790450","eset online scanner","3352842","130847465","1.2802469112255","Exact",""
"6367785025","eset security","3352845","130847482","1.18045977751414","Phrase",""
"1204243872","esset","3352848","130847511","1.0045977022456","Exact",""
"5231216770","esest","3352848","130847515","1","Exact",""
"2333560626","eset antivirus","3352850","130847531","1.0080459789298","Exact",""
"4851548912","eset anti virus","3352850","130847533","1","Exact",""
"46123757700","eset antivirus 6","3352850","130847541","1","Exact",""
"19970541136","eset family security pack","3352853","130847555","1.00117647086873","Exact",""
"21041462530","eset cybersecurity for mac","3352857","130847581","1.0182926843806","Phrase",""
"2451169038","eset coupon","3352865","130847667","1.02261905017353","Phrase",""
"3015812547","nod32 free trial","3352866","130847675","1","Exact",""
"5889748570","eset nod32 trial","3352866","130847676","1","Exact",""
"5889788890","nod32 trial","3352866","130847677","1","Exact",""
"3997919227","eset trial","3352868","130847683","1","Exact",""
"30125627022","eset free trial","3352868","130847684","1","Exact",""
"36128962","mac virus protection","3352360","130867006","3.79999998763756","Exact",""
"67687688","antivirus for mac","3352360","130867008","3.15555556615194","Exact",""
"67688328","antivirus software for mac","3352360","130867009","4.28518518695125","Exact",""
"103463028","virus protection for mac","3352360","130867011","5.05185189070525","Exact",""
"22636533","antivirus program","3353495","130867142","1.6153846016297","Exact",""
"29958230","antivirus programs","3353495","130867147","2.25769230494132","Exact",""
"2053931926","whats the best antivirus software","3353497","130867167","5.04848485281973","Phrase",""
"18258301606","+download +antivirus +software","3353499","130867185","2","Broad",""
"18258302326","+download +antivirus","3353499","130867188","1.9538461290873","Broad",""
"67844024147","+anti virus +download","3353499","130867196","2.53846155221646","Broad",""
"138223313","antivir","3353500","130867209","1.18461538736637","Phrase",""
"18258248926","+antivirus +software","3353502","130867260","3.44615384707084","Broad",""
"18258249286","+software +antivirus","3353502","130867261","3.35769233336815","Broad",""
"27982740956","+antivirus +for +computer","3353506","130867331","3.2478260786637","Broad",""
"59892541","best anti virus software","3353508","130867374","4.84242425362269","Exact",""
"59892581","best antivirus software","3353508","130867375","3.95217391891756","Exact",""
"74124748","what is the best antivirus software","3353508","130867376","4.09420289855072","Exact",""
"17358831","antivir","3353511","130867412","1","Exact",""
"32304234691","+antivirus +programs +best","3353514","130867427","4.87619047127073","Broad",""
"30524480","+antivirus","3353517","130867483","3.79999997982612","Broad",""
"20897335394","+anti virus","3353517","130867484","5.07307690840501","Broad",""
"15003083","antivirus download","3353518","130867486","1.0076923095263","Exact",""
"23757923","download antivirus","3353518","130867491","1.11153847896136","Exact",""
"23757933","download anti virus","3353518","130867492","1.08846154579749","Exact",""
"23758503","antivirus downloads","3353518","130867493","1.56153846245546","Exact",""
"28103520","anti virus download","3353518","130867495","1.02692307875707","Exact",""
"15002923","antivirus software","3353520","130867521","3.51153845053453","Exact",""
"23758133","software anti virus","3353520","130867523","1.51428571769169","Exact",""
"15648333","anti virus","3353524","130867578","2.59615385532379","Phrase",""
"21283941","antivirus","3353524","130867579","2.36818182468414","Phrase",""
"18258152086","+antivirus +best","3353526","130867606","3.74218751862645","Broad",""
"21182800352","+best +antivirus","3353526","130867607","4.12463769532632","Broad",""
"22424211586","+the +best +antivirus","3353526","130867608","3.85223878497508","Broad",""
"28903806374","+best +anti virus","3353526","130867610","4.4047619388217","Broad",""
"67844023667","+anti virus +best","3353526","130867613","4.64057971429134","Broad",""
"3266188308","antivirus top rated","3353529","130867658","1.78571428571429","Phrase",""
"4547202403","antivirus software top rated","3353529","130867664","1","Phrase",""
"15034720","anti virus","3353532","130867702","2.47692305766619","Exact",""
"19312841","antivirus","3353532","130867703","3.50454543937336","Exact",""
"26451062","best antivirus","3353533","130867706","3.96956519804139","Phrase",""
"157579821","what is the best antivirus","3353533","130867709","3.93333335717519","Phrase",""
"419874081","the best antivirus","3353533","130867711","3.61739130296569","Phrase",""
"769258920","top 10 antivirus","3353536","130867779","2.44347826294277","Exact",""
"817006988","top 10 antivirus software","3353536","130867781","2.05362317700317","Exact",""
"901050362","top rated antivirus","3353536","130867789","3.55072463595349","Exact",""
"15002883","best antivirus","3353543","130867905","4.69710145825925","Exact",""
"26962730","best anti virus","3353543","130867906","3.81594204211581","Exact",""
"95314538","the best antivirus","3353543","130867909","4.21159419806107","Exact",""
"26450782","antivirus programs","3353547","130868019","2.34615385990876","Phrase",""
